x	y
0.05	9.102775
0.05	9.102971
0.05	9.096732
0.125	22.658198
0.125	22.882701
0.125	22.830106
0.5	77.690938
0.5	75.064287
0.5	80.320072
1.25	197.030149
1.25	197.390646
1.25	196.477779
2.5	388.543543
2.5	382.672992
2.5	378.273372
5	844.937521
5	799.804932
5	799.695752
12.5	1996.367224
12.5	1987.843702
12.5	1969.842072
25	3901.97788
25	3786.692867
25	3762.291002
